company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Mjm Associates LLC,1,2,,531311,Mjm Associates LLC,"Po Box 475883, San Francisco, 94147","2710 Webster St, San Francisco"
Mmh Properties LLC,1,2,,531110,Mmh Properties LLC,"58 Winfield St, San Francisco, 94110","58 Winfield St, San Francisco"
Mnsf Green Property LLC,1,2,,531110,2319 Green St,"220 Jackson St Ste 300, San Francisco, 94111","2319 Green St, San Francisco"
Mnsf Laguna Property LLC,1,2,,531110,Mnsf Laguna Property LLC,"220 Jackson St Ste 300, San Francisco, 94111","1929 Laguna St, San Francisco"
"Modern Real Estate Group, Inc.",1,2,,531210,"Modern Real Estate Group, Inc.","63 Ronada Ave, Piedmont, 94611","2282 Market St, San Francisco"
Monogram Residential Argenta Reit LLC,1,2,,531110,Argenta,"1 Polk St, San Francisco, 94102","1 Polk St, San Francisco"
"Moulds 500 Forbes Associates, LLC",1,2,,531312,"Moulds 500 Forbes Associates, LLC","2600 El Camino Real Ste 410, Palo Alto, 94306","1930 Market St, San Francisco"
"Mountain Lake Apartments, LLC",1,2,Inner Richmond,531110,"Mountain Lake Apartments, LLC","0000 Undeliverable Mail, San Francisco, 99999","10 10th Ave, San Francisco"
"Mp Francis Scott Key 2 Associates, L.P.",1,2,,531110,"Mp Francis Scott Key 2 Associates, L.P. | Shirley Chisholm Village Lihtc","303 Vintage Park Dr Ste 250, Foster City, 94404","1360 43rd Ave, San Francisco"
"Mp Golden Gate Avenue Associates, L.P.",1,2,,531110,"Mp Golden Gate Avenue Associates, L.P.","303 Vintage Park Dr Ste 250, Foster City, 94404","303 Vintage Park Dr Ste 250, Foster City"
Mp Turk Street Associates Lp,1,2,,531110,Turk Street,"303 Vintage Park Dr Ste 250, Foster City, 94404","850 Turk St, San Francisco"
"Mpire Luxe Real Estate, LLC",1,2,,531210,"Mpire Luxe Real Estate, LLC","4507 Spyglass Dr, Stockton, 95219","4507 Spyglass Dr, Stockton"
Murphy O'brien Real Estate Investment Inc,1,2,Noe Valley,531210,Murphy O'brien Real Estate | Sf City Properties,"4153 24th St, San Francisco, 94114","4153 24th St, San Francisco"
Murphy's Replacement Property Company LLC,1,2,,531110,4524-4526 3rd Street,"4153 24th St, San Francisco, 94114","4526 3rd St, San Francisco"
Murray Properties L.P.,1,2,,53,Murray Properties L.P.,"617 Brighton Rd, Pacifica, 94044","105 Richland Ave, San Francisco"
Namiki Apartments Limited,1,2,,531110,Namiki Apartments,"615 Grant Ave, San Francisco, 94108","1776 Sutter St, San Francisco"
National Office Partners LLC,1,2,,53,Nop 560 Mission LLC,"515 S Flower St Fl 32, Los Angeles, 90071","560 Mission St Ste 100, San Francisco"
Naughton Realty Inc,1,2,,531210,Shamrock Realty,"630 Taraval St, San Francisco, 94116","630 Taraval St, San Francisco"
Necco Apartments LLC,1,2,,531110,Necco Apartments LLC,"3475 California St, San Francisco, 94118","1930 Taraval St, San Francisco"
Neighbor's Property Management,1,2,,531311,Neighbor's Property Management,"510 Divisadero St Apt, San Francisco, 94117","510 Divisadero St, San Francisco"
Neill Bassi Properties Inc,1,2,,531210,Neill Bassi Properties Inc,"45 Almaden Ct, San Francisco, 94118","45 Almaden Ct, San Francisco"
New Age Realty & Mortgage Inc,1,2,,53,New Age Realty & Mortgage Inc,"1990 Noriega St, San Francisco, 94122","1990 Noriega St, San Francisco"
New Century Management Ktc LLC,1,2,,531110,New Century Management Ktc LLC,"Po Box 210279, San Francisco, 94121","556 Larkin E St Apt 23, San Francisco"
